id,count
投诉.政府服务.农村管理.乱占耕地.others,1278
投诉.政府服务.交通.公交行管.c-1242,2914
投诉.政府服务.交通.交通事故,1806
投诉.公共服务.路灯.c-17367,4793
投诉.政府服务.环境污染.噪音污染,2444
投诉.公共服务.供电.c-10965,1869
投诉.政府服务.交通.停车管理.c-12187,1188
投诉.政府服务.水务.水利建设.others,353
投诉.政府服务.交通.船舶检验,1
投诉.政府服务.医疗卫生.资格考试.others,109
投诉.政府服务.农村管理.土地承包,3265
投诉.政府服务.环境污染.噪音污染.others,2444
投诉.政府服务.交通.出租行管.c-4490,17677
投诉.政府服务.户口.积分落户.c-8320,2538
投诉.政府服务.消费维权.直销、传销.others,2291
投诉.政府服务.民政.社团管理.others,86
投诉.政府服务.医疗卫生.医院管理.others,2879
投诉.公共服务.供暖.c-6683,56221
投诉.公共服务.供气.others,5499
投诉.公共服务.供电,14874
投诉.政府服务.民政.殡葬管理,543
投诉.公共服务.公交.others,5766
投诉.政府服务.水务.排水防汛.c-16653,7572
投诉.政府服务.交通.违法违章.c-8579,1533
投诉.政府服务.交通.汽修行管,95
投诉.政府服务.城市管理.市容环卫.c-19097,1209
投诉.政府服务.环境污染.大气污染,67750
投诉.政府服务.交通.路政执法.others,349
投诉.政府服务.消费维权.违法经营.c-16270,1318
投诉.政府服务.食品药品.化妆品,143
投诉.政府服务.户口.出生落户,1569
投诉.政府服务.交通.机动车维修.others,21
投诉.政府服务.城市管理.市容环卫.c-18949,1414
投诉.政府服务.水务.排水防汛.c-16719,4511
投诉.政府服务.民政.社会福利与老龄工作,985
投诉.政府服务.社会治安.养犬管理,881
投诉.公共服务.井盖.c-10737,8006
投诉.政府服务.食品药品.药品,956
投诉.政府服务.住房.权属登记.c-7378,4811
投诉.政府服务.交通.运政执法,33
投诉.政府服务.城市管理.占路经营.others,8724
投诉.公共服务.供水.others,5739
投诉.公共服务.邮电服务.电信类.others,3622
投诉.政府服务.消费维权.合同违法.c-11284,17164
投诉.政府服务.水务.河道.others,112
投诉.政府服务.住房.物业管理.c-20480,5094
投诉.政府服务.城市管理.人为污染,40494
投诉.政府服务.施工扰民.白天施工扰民,286
投诉.政府服务.道桥.市政道路.others,7456
投诉.政府服务.住房.房产证.others,275
投诉.政府服务.城市管理.人为污染.c-5359,1426
投诉.政府服务.城市管理.人为污染.c-5056,2470
投诉.公共服务.路灯.others,4365
投诉.政府服务.施工扰民.夜间施工扰民.others,417
投诉.政府服务.交通.公路规划立项,31
投诉.政府服务.住房.物业管理.c-20479,2505
投诉.政府服务.住房.房屋管理.others,12191
投诉.政府服务.民政.社会救助,5621
投诉.公共服务.井盖.c-10671,3471
投诉.政府服务.农村管理.集体资金,1288
投诉.政府服务.住房.房屋管理,42908
投诉.政府服务.交通.公交行管.others,1584
投诉.政府服务.农村管理.土地承包.others,1253
投诉.政府服务.城市管理.违章建筑.c-15042,3158
投诉.政府服务.教育.升学、入学、入园.c-320,5882
投诉.政府服务.交通.水运管理,18
投诉.政府服务.户口.投靠落户.others,144
投诉.政府服务.交通.轨道交通.others,468
投诉.公共服务.供气,8657
投诉.政府服务.环境污染.大气污染.c-10157,8999
投诉.政府服务.城市管理.市容环卫.others,27557
投诉.政府服务.户口.出入境业务.others,23
投诉.公共服务.公交.c-9055,6997
投诉.政府服务.户口.变更、恢复、注销户口,3482
投诉.政府服务.住房.公租房、经济适用房、限价房,159
投诉.政府服务.消费维权,120811
投诉.公共服务.供水,32347
投诉.公共服务.供暖.c-6673,1586
投诉.政府服务.社会治安.案件,2008
投诉.政府服务.住房.权属登记.c-7379,3980
投诉.政府服务.医疗卫生.非法行医.others,626
投诉.政府服务.民政.优抚安置.others,424
投诉.政府服务.交通.停车管理.c-12232,10100
投诉.政府服务.交通.公路养护.others,1872
投诉.公共服务.邮电服务.广电.others,563
投诉.政府服务.城市管理.违章建筑.c-15035,2938
投诉.政府服务.道桥.桥梁.others,2240
投诉.政府服务.社会治安.案件.c-4265,1268
投诉.政府服务.交通.高速管理.others,673
投诉.政府服务.城市管理.市容环卫.c-19064,1502
投诉.政府服务.施工扰民.夜间施工扰民.c-6294,2267
投诉.公共服务.邮电服务.邮政,5128
投诉.政府服务.教育.学校收费,1650
投诉.政府服务.交通.港口管理,10
投诉.政府服务.交通.长客管理,492
投诉.政府服务.消费维权.消费卡.c-3225,5860
投诉.政府服务.户口.变更、恢复、注销户口.c-4180,2603
投诉.政府服务.环境污染,111054
投诉.政府服务.食品药品,9318
投诉.政府服务.户口.迁往外省.others,333
投诉.政府服务.社会治安.群体事件.others,15
投诉.政府服务.农村管理.农业灌溉,1227
投诉.政府服务.农村管理,22895
投诉.政府服务.农村管理.集体资金.others,1288
投诉.政府服务.城市管理.人为污染.c-5314,1232
投诉.公共服务.邮电服务.广电.c-16791,3714
投诉.公共服务,308684
投诉.政府服务.食品药品.食品.others,2027
投诉.政府服务.城市管理.人为污染.c-5319,1595
投诉.政府服务.户口.投靠落户,2577
投诉.政府服务.城市管理.违章建筑.c-15017,1521
投诉.政府服务,1002202
投诉.政府服务.民政.基层政权和社区建设.others,4463
投诉.政府服务.消费维权.不正当竞争.others,827
投诉.政府服务.城市管理.占路经营.c-21104,38232
投诉.政府服务.民政.优抚安置.c-15827,2140
投诉.政府服务.医疗卫生.卫生监督.others,474
投诉.政府服务.户口.迁往外省,333
投诉.政府服务.消费维权.违法经营,16371
投诉.政府服务.户口.居住证,1170
投诉.政府服务.住房.公租房、经济适用房、限价房.others,159
投诉.政府服务.交通.停车场管理,1628
投诉.政府服务.住房.房屋管理.c-1833,2304
投诉.政府服务.户口.投靠落户.c-13542,2433
投诉.政府服务.消费维权.不正当竞争,827
投诉.政府服务.城市管理.人为污染.c-5167,1258
投诉.政府服务.城市管理.人为污染.c-5165,3150
投诉.政府服务.交通.车辆管理.c-12678,5641
投诉.政府服务.城市管理.人为污染.c-5169,2596
投诉.政府服务.民政.殡葬管理.others,543
投诉.政府服务.交通.路政执法,349
投诉.公共服务.路灯.c-17373,18871
投诉.政府服务.住房.困难.others,94
投诉.公共服务.邮电服务.邮政.c-14525,4460
投诉.政府服务.社会治安.其他,376
投诉.政府服务.民政.社会救助.others,628
投诉.政府服务.交通.路网服务.others,34
投诉.政府服务.交通.驾驶人管理.c-11925,2094
投诉.政府服务.环境污染.大气污染.c-10029,3822
投诉.公共服务.供暖.c-6731,4098
投诉.政府服务.环境污染.固体废物污染,6922
投诉.政府服务.交通.停车管理.c-12175,4356
投诉.政府服务.农村管理.占地拆迁,136
投诉.政府服务.住房.公积金,8
投诉.公共服务.井盖.others,3939
投诉.政府服务.住房.住房保障.others,4625
投诉.政府服务.交通.港口管理.others,10
投诉.政府服务.交通.水运管理.others,18
投诉.公共服务.供电.others,5395
投诉.公共服务.邮电服务.电信类.c-15325,2574
投诉.政府服务.消费维权.合同违法,23647
投诉.政府服务.住房.住房保障.c-7693,9430
